target_sex,dem_sex,metric,r1,r2,t,p,m1,cil_1,ciu_1,m2,cil_2,ciu_2
F,All,auroc,0.0,0.05,0.2655391290587612,0.8037180448696698,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8488356782358689,0.8409917454588254,0.8566796110129125
F,All,auroc,0.0,0.1,-0.39499540431246316,0.713004224857102,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8527706829476692,0.8403718994891004,0.865169466406238
F,All,auroc,0.0,0.25,2.594207524725473,0.060415469661304545,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8423437040430752,0.8395890511059058,0.8450983569802447
F,All,auroc,0.0,0.5,1.8424827075895578,0.1391971087106143,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8365781363090941,0.8268116137868196,0.8463446588313686
F,All,auroc,0.0,0.75,0.656556050864551,0.547318799810886,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8452979756785994,0.8320042639427747,0.8585916874144242
F,All,auroc,0.0,1.0,10.63073238787713,0.0004433063342774308,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.791271200055338,0.7826674373736486,0.7998749627370274
F,All,auroc,0.05,0.1,-0.4415849999975103,0.681611110239285,0.8488356782358689,0.8409917454588254,0.8566796110129125,0.8527706829476692,0.8403718994891004,0.865169466406238
F,All,auroc,0.05,0.25,1.278035956122158,0.27036337761531515,0.8488356782358689,0.8409917454588254,0.8566796110129125,0.8423437040430752,0.8395890511059058,0.8450983569802447
F,All,auroc,0.05,0.5,1.6584647465090105,0.17256297179616817,0.8488356782358689,0.8409917454588254,0.8566796110129125,0.8365781363090941,0.8268116137868196,0.8463446588313686
F,All,auroc,0.05,0.75,0.31285858505013575,0.7700210683502475,0.8488356782358689,0.8409917454588254,0.8566796110129125,0.8452979756785994,0.8320042639427747,0.8585916874144242
F,All,auroc,0.05,1.0,6.272955559921597,0.003296450013305365,0.8488356782358689,0.8409917454588254,0.8566796110129125,0.791271200055338,0.7826674373736486,0.7998749627370274
F,All,auroc,0.1,0.25,1.8230467057114002,0.14237235528819478,0.8527706829476692,0.8403718994891004,0.865169466406238,0.8423437040430752,0.8395890511059058,0.8450983569802447
F,All,auroc,0.1,0.5,1.4262826020021135,0.22693813645601485,0.8527706829476692,0.8403718994891004,0.865169466406238,0.8365781363090941,0.8268116137868196,0.8463446588313686
F,All,auroc,0.1,0.75,0.9367349403082985,0.40192816759945,0.8527706829476692,0.8403718994891004,0.865169466406238,0.8452979756785994,0.8320042639427747,0.8585916874144242
F,All,auroc,0.1,1.0,8.371752922370716,0.0011134338561036392,0.8527706829476692,0.8403718994891004,0.865169466406238,0.791271200055338,0.7826674373736486,0.7998749627370274
F,All,auroc,0.25,0.5,0.9308470942367179,0.4046253312919852,0.8423437040430752,0.8395890511059058,0.8450983569802447,0.8365781363090941,0.8268116137868196,0.8463446588313686
F,All,auroc,0.25,0.75,-0.39704405392357384,0.7116085868881458,0.8423437040430752,0.8395890511059058,0.8450983569802447,0.8452979756785994,0.8320042639427747,0.8585916874144242
F,All,auroc,0.25,1.0,10.98310286681086,0.00039050138959345577,0.8423437040430752,0.8395890511059058,0.8450983569802447,0.791271200055338,0.7826674373736486,0.7998749627370274
F,All,auroc,0.5,0.75,-0.745568132698248,0.4973559521709097,0.8365781363090941,0.8268116137868196,0.8463446588313686,0.8452979756785994,0.8320042639427747,0.8585916874144242
F,All,auroc,0.5,1.0,5.412170219158734,0.00564630541088064,0.8365781363090941,0.8268116137868196,0.8463446588313686,0.791271200055338,0.7826674373736486,0.7998749627370274
F,All,auroc,0.75,1.0,12.680684146697251,0.00022273378466948165,0.8452979756785994,0.8320042639427747,0.8585916874144242,0.791271200055338,0.7826674373736486,0.7998749627370274
F,M,auroc,0.0,0.05,-0.5563382529024286,0.6076329486665231,0.8426053374489436,0.8397113113021245,0.8454993635957627,0.8450803821676718,0.8363057368327281,0.8538550275026154
F,M,auroc,0.0,0.1,-0.6078667820566362,0.5760975039031302,0.8426053374489436,0.8397113113021245,0.8454993635957627,0.8471978291643175,0.834240734802069,0.8601549235265661
F,M,auroc,0.0,0.25,1.0607411711343468,0.3486084475580593,0.8426053374489436,0.8397113113021245,0.8454993635957627,0.840343593966115,0.8382048732357202,0.8424823146965098
F,M,auroc,0.0,0.5,1.2071067323006883,0.2938899977066385,0.8426053374489436,0.8397113113021245,0.8454993635957627,0.8356687630049361,0.8277776181664543,0.8435599078434178
F,M,auroc,0.0,0.75,-0.94926913230418,0.3962369900215363,0.8426053374489436,0.8397113113021245,0.8454993635957627,0.8488233701493868,0.8375659878103117,0.8600807524884619
F,M,auroc,0.0,1.0,-1.6420239493072006,0.17592950986332773,0.8426053374489436,0.8397113113021245,0.8454993635957627,0.8500542506114602,0.8444790821643582,0.8556294190585623
F,M,auroc,0.05,0.1,-0.19751814682209867,0.8530532271307657,0.8450803821676718,0.8363057368327281,0.8538550275026154,0.8471978291643175,0.834240734802069,0.8601549235265661
F,M,auroc,0.05,0.25,1.049026380440873,0.35336513186579105,0.8450803821676718,0.8363057368327281,0.8538550275026154,0.840343593966115,0.8382048732357202,0.8424823146965098
F,M,auroc,0.05,0.5,1.676318768262482,0.1689832460745539,0.8450803821676718,0.8363057368327281,0.8538550275026154,0.8356687630049361,0.8277776181664543,0.8435599078434178
F,M,auroc,0.05,0.75,-0.3411925818433709,0.7501277510741284,0.8450803821676718,0.8363057368327281,0.8538550275026154,0.8488233701493868,0.8375659878103117,0.8600807524884619
F,M,auroc,0.05,1.0,-0.6934292977978047,0.5262011489538759,0.8450803821676718,0.8363057368327281,0.8538550275026154,0.8500542506114602,0.8444790821643582,0.8556294190585623
F,M,auroc,0.1,0.25,0.9516099135637391,0.39518176975119057,0.8471978291643175,0.834240734802069,0.8601549235265661,0.840343593966115,0.8382048732357202,0.8424823146965098
F,M,auroc,0.1,0.5,1.1520526645787952,0.31346879981493053,0.8471978291643175,0.834240734802069,0.8601549235265661,0.8356687630049361,0.8277776181664543,0.8435599078434178
F,M,auroc,0.1,0.75,-0.21886331052901073,0.8374702749297019,0.8471978291643175,0.834240734802069,0.8601549235265661,0.8488233701493868,0.8375659878103117,0.8600807524884619
F,M,auroc,0.1,1.0,-0.47404607296399026,0.6601842491539711,0.8471978291643175,0.834240734802069,0.8601549235265661,0.8500542506114602,0.8444790821643582,0.8556294190585623
F,M,auroc,0.25,0.5,1.1912249677575601,0.29941733300483564,0.840343593966115,0.8382048732357202,0.8424823146965098,0.8356687630049361,0.8277776181664543,0.8435599078434178
F,M,auroc,0.25,0.75,-1.1578494607618923,0.311351486672947,0.840343593966115,0.8382048732357202,0.8424823146965098,0.8488233701493868,0.8375659878103117,0.8600807524884619
F,M,auroc,0.25,1.0,-3.192617371865968,0.033133325277136964,0.840343593966115,0.8382048732357202,0.8424823146965098,0.8500542506114602,0.8444790821643582,0.8556294190585623
F,M,auroc,0.5,0.75,-1.2865439850867726,0.26766549888872015,0.8356687630049361,0.8277776181664543,0.8435599078434178,0.8488233701493868,0.8375659878103117,0.8600807524884619
F,M,auroc,0.5,1.0,-3.206086168596225,0.032710572909314284,0.8356687630049361,0.8277776181664543,0.8435599078434178,0.8500542506114602,0.8444790821643582,0.8556294190585623
F,M,auroc,0.75,1.0,-0.174789216498821,0.8697358305470405,0.8488233701493868,0.8375659878103117,0.8600807524884619,0.8500542506114602,0.8444790821643582,0.8556294190585623
F,F,auroc,0.0,0.05,1.6863983657705686,0.16699675079032017,0.8596723789698029,0.8542562463940342,0.8650885115455715,0.8515019268180861,0.8426227836977719,0.8603810699384004
F,F,auroc,0.0,0.1,0.12510462811969816,0.9064762199549945,0.8596723789698029,0.8542562463940342,0.8650885115455715,0.8587287957077183,0.8452685787121504,0.8721890127032862
F,F,auroc,0.0,0.25,3.476326974241515,0.025436775477565916,0.8596723789698029,0.8542562463940342,0.8650885115455715,0.8421399452312801,0.8354495231301443,0.8488303673324159
F,F,auroc,0.0,0.5,2.2036368650181437,0.09227784782743129,0.8596723789698029,0.8542562463940342,0.8650885115455715,0.8378362638315799,0.8237619147911233,0.8519106128720366
F,F,auroc,0.0,0.75,1.5898278599808546,0.1870778842627209,0.8596723789698029,0.8542562463940342,0.8650885115455715,0.8459810663791927,0.8293481510750138,0.8626139816833716
F,F,auroc,0.0,1.0,14.811916706672026,0.00012095484863120123,0.8596723789698029,0.8542562463940342,0.8650885115455715,0.7666810403578553,0.7540852145600571,0.7792768661556536
F,F,auroc,0.05,0.1,-1.081189853949436,0.3404425823097186,0.8515019268180861,0.8426227836977719,0.8603810699384004,0.8587287957077183,0.8452685787121504,0.8721890127032862
F,F,auroc,0.05,0.25,1.4433423698950236,0.2224066145651793,0.8515019268180861,0.8426227836977719,0.8603810699384004,0.8421399452312801,0.8354495231301443,0.8488303673324159
F,F,auroc,0.05,0.5,1.1626205399407976,0.30961877511108216,0.8515019268180861,0.8426227836977719,0.8603810699384004,0.8378362638315799,0.8237619147911233,0.8519106128720366
F,F,auroc,0.05,0.75,0.43133483399093775,0.6884545853455486,0.8515019268180861,0.8426227836977719,0.8603810699384004,0.8459810663791927,0.8293481510750138,0.8626139816833716
F,F,auroc,0.05,1.0,7.899352036333679,0.0013891666731623191,0.8515019268180861,0.8426227836977719,0.8603810699384004,0.7666810403578553,0.7540852145600571,0.7792768661556536
