target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0.05,,,0.8369488379277525,0.7654123298638911,0.2345876701361089,0.7483025052680871,0.2516974947319129,0.4707040866568193,0.9160217827457724,0.08397821725422758,3196,1075,293,956
F,,0,0.05,M,,0.8270363752884915,0.7599009900990099,0.2400990099009901,0.7410897173289636,0.25891028267103644,0.492776886035313,0.9031452820768847,0.09685471792311533,1809,632,194,614
F,,0,0.05,F,,0.8526114270844949,0.7755102040816326,0.22448979591836735,0.7579234972677595,0.24207650273224043,0.4356687898089172,0.933378196500673,0.06662180349932706,1387,443,99,342
F,,0,0.05,,0-20,0.8885534591194968,0.92,0.08,0.7056603773584905,0.2943396226415094,0.6388888888888888,0.9396984924623115,0.06030150753768844,187,78,12,138
F,,0,0.05,,20-40,0.8430712911114006,0.7883597883597884,0.21164021164021163,0.7338195077484048,0.26618049225159524,0.5050847457627119,0.9096045197740112,0.0903954802259887,805,292,80,298
F,,0,0.05,,40-60,0.834728599068569,0.7284768211920529,0.271523178807947,0.7752928647497338,0.22470713525026625,0.43882978723404253,0.922102596580114,0.077897403419886,1456,422,123,330
F,,0,0.05,,60-80,0.7963557401812688,0.71484375,0.28515625,0.7270896273917422,0.2729103726082578,0.40308370044052866,0.9081761006289308,0.09182389937106918,722,271,73,183
F,,0,0.05,,80+,0.7719298245614035,0.5833333333333334,0.4166666666666667,0.6842105263157895,0.3157894736842105,0.3684210526315789,0.8387096774193549,0.16129032258064516,26,12,5,7
F,,0,0.05,M,0-20,0.8882876974367383,0.9345794392523364,0.06542056074766354,0.6900584795321637,0.30994152046783624,0.6535947712418301,0.944,0.056,118,53,7,100
F,,0,0.05,M,20-40,0.8340425807119205,0.78515625,0.21484375,0.7350993377483444,0.26490066225165565,0.556786703601108,0.8897795591182365,0.11022044088176353,444,160,55,201
F,,0,0.05,M,40-60,0.8245600431637476,0.7058823529411765,0.29411764705882354,0.7721755368814193,0.22782446311858076,0.45535714285714285,0.9067982456140351,0.09320175438596491,827,244,85,204
F,,0,0.05,M,60-80,0.776704989396138,0.7032258064516129,0.2967741935483871,0.7041522491349481,0.2958477508650519,0.3892857142857143,0.8984547461368654,0.10154525386313466,407,171,46,109
F,,0,0.05,M,80+,0.23529411764705888,0.0,1.0,0.7647058823529411,0.23529411764705882,0.0,0.9285714285714286,0.07142857142857142,13,4,1,0
F,,0,0.05,F,0-20,0.8852053438891638,0.8837209302325582,0.11627906976744186,0.7340425531914894,0.26595744680851063,0.6031746031746031,0.9324324324324325,0.06756756756756757,69,25,5,38
F,,0,0.05,F,20-40,0.8627838925281814,0.7950819672131147,0.20491803278688525,0.7322515212981744,0.26774847870182555,0.42358078602620086,0.9352331606217616,0.06476683937823834,361,132,25,97
F,,0,0.05,F,40-60,0.8510139934113096,0.7682926829268293,0.23170731707317074,0.7794299876084263,0.22057001239157373,0.4144736842105263,0.9430284857571214,0.05697151424287856,629,178,38,126
F,,0,0.05,F,60-80,0.8266968865561255,0.7326732673267327,0.26732673267326734,0.7590361445783133,0.24096385542168675,0.42528735632183906,0.9210526315789473,0.07894736842105263,315,100,27,74
F,,0,0.05,F,80+,0.7965367965367965,0.6363636363636364,0.36363636363636365,0.6190476190476191,0.38095238095238093,0.4666666666666667,0.7647058823529411,0.23529411764705882,13,8,4,7
F,,0,0.1,,,0.8326867534767688,0.7814251401120896,0.21857485988791034,0.7262936080543199,0.2737063919456802,0.455011655011655,0.9191111111111111,0.08088888888888889,3102,1169,273,976
F,,0,0.1,M,,0.8227237051849388,0.7685643564356436,0.23143564356435645,0.7189676362146661,0.28103236378533386,0.4751338944146901,0.903707518022657,0.09629248197734294,1755,686,187,621
F,,0,0.1,F,,0.8482398423850415,0.8049886621315193,0.19501133786848074,0.7360655737704918,0.2639344262295082,0.4236276849642005,0.9399860432658758,0.06001395673412421,1347,483,86,355
F,,0,0.1,,0-20,0.8928050314465408,0.92,0.08,0.6716981132075471,0.3283018867924528,0.6133333333333333,0.9368421052631579,0.06315789473684211,178,87,12,138
F,,0,0.1,,20-40,0.8491701755147516,0.8174603174603174,0.18253968253968253,0.7192342752962625,0.28076572470373745,0.5008103727714749,0.9195804195804196,0.08041958041958042,789,308,69,309
F,,0,0.1,,40-60,0.8175469653264122,0.7108167770419426,0.2891832229580574,0.7550585729499467,0.24494142705005326,0.4117647058823529,0.9154293092317625,0.08457069076823757,1418,460,131,322
