epoch,loss,auc,val_loss,val_auc
0,0.4386703073978424,0.7998560070991516,0.37093386054039,0.8630212545394897
1,0.3878846764564514,0.8459135293960571,0.3674875497817993,0.8716565370559692
2,0.3771381378173828,0.8549159169197083,0.36007198691368103,0.8759916424751282
3,0.36494168639183044,0.8665969371795654,0.3451218008995056,0.8832377195358276
4,0.3631928563117981,0.8672657012939453,0.344448447227478,0.8865692019462585
5,0.35739943385124207,0.8720468282699585,0.3357912600040436,0.8889288902282715
6,0.3566246032714844,0.8729335069656372,0.3386434018611908,0.8918007016181946
7,0.3522644639015198,0.8760361671447754,0.32988157868385315,0.8937063217163086
8,0.3478724956512451,0.8800292015075684,0.3343277871608734,0.8958535194396973
9,0.34610408544540405,0.8810886144638062,0.32333338260650635,0.8980415463447571
10,0.3473159968852997,0.8804042935371399,0.32818931341171265,0.8983622193336487
11,0.34073254466056824,0.8855648636817932,0.3178809583187103,0.902265727519989
12,0.34140199422836304,0.884238064289093,0.3192451298236847,0.903715193271637
13,0.3376232981681824,0.8879554271697998,0.31649383902549744,0.904360830783844
14,0.3366870880126953,0.8886537551879883,0.3156658709049225,0.9086183309555054
15,0.3357144296169281,0.888830304145813,0.31353771686553955,0.9065422415733337
16,0.33068278431892395,0.8930233716964722,0.31257593631744385,0.9116526246070862
17,0.3328184485435486,0.8917468786239624,0.30571699142456055,0.9105703234672546
18,0.3278186619281769,0.8945152163505554,0.3070867359638214,0.9111072421073914
19,0.32801496982574463,0.8950467109680176,0.30689477920532227,0.9146860241889954
20,0.32481279969215393,0.897022545337677,0.3016717731952667,0.9165551662445068
21,0.32342252135276794,0.8977727890014648,0.3023951053619385,0.9146321415901184
22,0.3191426396369934,0.9011126160621643,0.299182653427124,0.9156031608581543
23,0.3194596469402313,0.900611400604248,0.3004549741744995,0.9176141619682312
24,0.3158170282840729,0.90324467420578,0.2939087450504303,0.9182486534118652
25,0.31453371047973633,0.9037202596664429,0.29245245456695557,0.9234354496002197
26,0.31260839104652405,0.9053837060928345,0.2985592782497406,0.9195340871810913
27,0.31032809615135193,0.9070025682449341,0.2922724187374115,0.9240623712539673
28,0.3051534593105316,0.9106107354164124,0.2871193587779999,0.9245494604110718
