epoch,loss,auc,val_loss,val_auc
0,0.4117313325405121,0.7867517471313477,0.3786115348339081,0.841848611831665
1,0.38001200556755066,0.8249175548553467,0.3553621470928192,0.8534295558929443
2,0.36426085233688354,0.8408666849136353,0.35170048475265503,0.8640106916427612
3,0.3570297062397003,0.8485634326934814,0.34694406390190125,0.8653581738471985
4,0.3549942672252655,0.851364016532898,0.34138253331184387,0.8693385720252991
5,0.35026881098747253,0.8558117747306824,0.3383342921733856,0.8737426996231079
6,0.34923237562179565,0.856762707233429,0.3555110991001129,0.8664377927780151
7,0.34649792313575745,0.859722375869751,0.3322785794734955,0.8748315572738647
8,0.3440972864627838,0.8616163730621338,0.3309577703475952,0.8763840794563293
9,0.3420048952102661,0.8640395998954773,0.32545897364616394,0.879237711429596
10,0.3396041691303253,0.8663071990013123,0.32342860102653503,0.8813686370849609
11,0.3367619216442108,0.8688310980796814,0.3221394419670105,0.8822486996650696
12,0.33426278829574585,0.8711438775062561,0.322408527135849,0.8857277631759644
13,0.335075706243515,0.8701803684234619,0.3160336911678314,0.8872171640396118
14,0.33139440417289734,0.8732068538665771,0.3166683316230774,0.8888089656829834
15,0.3280336558818817,0.8767086267471313,0.3158537745475769,0.8892109990119934
16,0.329166054725647,0.8759096264839172,0.3136040270328522,0.890415608882904
17,0.32708194851875305,0.8776001930236816,0.31014111638069153,0.8960172533988953
18,0.3218318521976471,0.8814379572868347,0.3188108205795288,0.8938590288162231
19,0.32390546798706055,0.8802238702774048,0.319195955991745,0.895668089389801
20,0.31836801767349243,0.885555624961853,0.32691895961761475,0.8965498805046082
21,0.31786200404167175,0.8860164284706116,0.300488144159317,0.8992745876312256
22,0.3194102644920349,0.883824348449707,0.32719260454177856,0.8968256711959839
23,0.31325864791870117,0.8886984586715698,0.30609962344169617,0.9022144079208374
24,0.3138427138328552,0.8881222605705261,0.30082592368125916,0.900736927986145
25,0.31019407510757446,0.8918030858039856,0.317218542098999,0.8975290060043335
26,0.30851882696151733,0.8922691941261292,0.3466316759586334,0.8988893032073975
27,0.2991308271884918,0.900502622127533,0.30480921268463135,0.9112720489501953
28,0.29546910524368286,0.9031358361244202,0.2819123864173889,0.9145963788032532
29,0.2939864695072174,0.9035595059394836,0.28091463446617126,0.916370689868927
30,0.2879793345928192,0.9084751605987549,0.28092747926712036,0.9179958701133728
